Textbox13
"Valores em R$ 1,00"

DATA_COMP,SG_EFPC,LEGISLACAO_ENT,NU_CNPB,Textbox17,SITUACAO,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2030202020000,PARTICIPACÃO NO FUNDO ADMINISTRATIVO PGA,"409.587,40",CR,"0,00","9.122,13","418.709,53",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,2030203000000,FUNDOS PARA GARANTIA DAS OPERAÇÕES COM PARTICIPANTES,"70.305,62",CR,"0,00","1.567,13","71.872,75",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3000000000000,GESTÃO PREVIDENCIAL,"0,00",DV,"2.777.077,84","2.777.077,84","0,00",DV
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010000000000,ADIÇÕES,"247.968,70",CR,"0,00","351.892,26","599.860,96",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010100000000,CORRENTES,"247.968,70",CR,"0,00","247.555,91","495.524,61",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010101000000,PATROCINADOR(ES),"102.686,23",CR,"0,00","103.813,26","206.499,49",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010101010000,CONTRIBUIÇÕES NORMAIS,"102.686,23",CR,"0,00","103.813,26","206.499,49",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010103000000,PARTICIPANTES,"143.710,41",CR,"0,00","143.582,49","287.292,90",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010103010000,ATIVOS,"143.710,41",CR,"0,00","143.582,49","287.292,90",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010103010100,CONTRIBUIÇÕES NORMAIS,"143.710,41",CR,"0,00","143.582,49","287.292,90",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010103010101,REGULAR,"143.710,41",CR,"0,00","143.582,49","287.292,90",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010103010102,VOLUNTÁRIA,"0,00",CR,"0,00","0,00","0,00",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010103020000,ASSISTIDOS,"0,00",CR,"0,00","0,00","0,00",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010103020100,CONTRIBUIÇÕES NORMAIS,"0,00",CR,"0,00","0,00","0,00",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010104000000,AUTOPATROCINADOS,"1.572,06",CR,"0,00","160,16","1.732,22",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010104010000,CONTRIBUIÇÕES NORMAIS,"1.572,06",CR,"0,00","160,16","1.732,22",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010104010100,REGULAR,"1.572,06",CR,"0,00","160,16","1.732,22",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010500000000,PORTABILIDADE,"0,00",CR,"0,00","104.336,35","104.336,35",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3010501000000,PREVIDÊNCIA COMPLEMENTAR FECHADA,"0,00",CR,"0,00","104.336,35","104.336,35",CR
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3020000000000,DEDUÇÕES,"-459.134,91",DV,"387.156,11","288,00","-846.003,02",DV
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3020100000000,BENEFÍCIOS DE PRESTAÇÃO CONTINUADA,"-269.601,50",DV,"269.837,69","288,00","-539.151,19",DV
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3020101000000,APOSENTADORIA PROGRAMADA,"-63.586,18",DV,"63.881,89","288,00","-127.180,07",DV
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3020102000000,INVALIDEZ,"-120.018,52",DV,"119.959,00","0,00","-239.977,52",DV
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3020103000000,PENSÕES,"-85.996,80",DV,"85.996,80","0,00","-171.993,60",DV
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3020200000000,BENEFÍCIOS DE PRESTAÇÃO ÚNICA,"0,00",DV,"0,00","0,00","0,00",DV
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3020201000000,PECÚLIOS,"0,00",DV,"0,00","0,00","0,00",DV
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3020299000000,OUTROS BENEFÍCIOS DE PRESTAÇÃO ÚNICA,"0,00",DV,"0,00","0,00","0,00",DV
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3020300000000,INSTITUTOS,"-86.847,18",DV,"13.505,16","0,00","-100.352,34",DV
02/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,3020301000000,RESGATE,"-86.847,18",DV,"13.505,16","0,00","-100.352,34",DV
